Date,Adj Close
10/10/14,2.79
10/9/14,3.11
10/8/14,2.94
10/7/14,2.6
10/6/14,2.74
10/3/14,2.74
10/2/14,3.01
10/1/14,2.94
9/30/14,3.03
9/29/14,3.11
9/26/14,3.23
9/25/14,3.27
9/24/14,3.13
9/23/14,3.17
9/22/14,3.12
9/19/14,3.45
9/18/14,3.53
9/17/14,3.53
9/16/14,3.57
9/15/14,3.53
9/12/14,3.51
9/11/14,3.55
9/10/14,3.64
9/9/14,3.65
9/8/14,3.68
9/5/14,3.69
9/4/14,3.7
9/3/14,3.87
9/2/14,3.9
8/29/14,3.95
8/28/14,3.81
8/27/14,3.74
8/26/14,3.7
8/25/14,3.61
8/22/14,3.69
8/21/14,3.62
8/20/14,3.76
8/19/14,3.77
8/18/14,3.79
8/15/14,3.78
8/14/14,3.78
8/13/14,3.83
8/12/14,3.87
8/11/14,3.8
8/8/14,3.69
8/7/14,3.84
8/6/14,3.74
8/5/14,3.69
8/4/14,3.48
8/1/14,3.7
7/31/14,3.76
7/30/14,3.87
7/29/14,3.98
7/28/14,3.92
7/25/14,3.93
7/24/14,3.76
7/23/14,3.95
7/22/14,3.91
7/21/14,4.06
7/18/14,4.08
7/17/14,4.05
7/16/14,3.89
7/15/14,3.83
7/14/14,3.97
7/11/14,4.08
7/10/14,4.07
7/9/14,4.25
7/8/14,4.25
7/7/14,4.15
7/3/14,4.38
7/2/14,4.24
7/1/14,4.13
6/30/14,4.21
6/27/14,4.07
6/26/14,4.13
6/25/14,4.11
6/24/14,4.04
6/23/14,4.27
6/20/14,4.38
6/19/14,4.24
6/18/14,4.07
6/17/14,4
6/16/14,3.91
6/13/14,4.08
6/12/14,3.95
6/11/14,3.76
6/10/14,3.57
6/9/14,3.46
6/6/14,3.39
6/5/14,3.45
6/4/14,3.24
6/3/14,3.07
6/2/14,2.99
5/30/14,3.01
5/29/14,3.02
5/28/14,2.95
5/27/14,2.94
5/23/14,3.18
5/22/14,3.24
5/21/14,3.12
5/20/14,3.09
5/19/14,3.04
5/16/14,3.02
5/15/14,3.13
5/14/14,3.18
5/13/14,3.11
5/12/14,3.12
5/9/14,3
5/8/14,3.18
5/7/14,3.15
5/6/14,3.43
5/5/14,3.52
5/2/14,3.59
5/1/14,3.55
4/30/14,3.53
4/29/14,3.55
4/28/14,3.47
4/25/14,3.66
4/24/14,3.58
4/23/14,3.62
4/22/14,3.53
4/21/14,3.43
4/17/14,3.5
4/16/14,3.48
4/15/14,3.49
4/14/14,3.64
4/11/14,3.62
4/10/14,3.75
4/9/14,3.75
4/8/14,3.8
4/7/14,3.63
4/4/14,3.7
4/3/14,3.64
4/2/14,3.76
4/1/14,3.65
3/31/14,3.61
3/28/14,3.75
3/27/14,3.63
3/26/14,3.56
3/25/14,3.81
3/24/14,3.81
3/21/14,4.02
3/20/14,4.09
3/19/14,4.05
3/18/14,4.19
3/17/14,4.28
3/14/14,4.57
3/13/14,4.34
3/12/14,4.18
3/11/14,4.02
3/10/14,4.11
3/7/14,4.03
3/6/14,4.31
3/5/14,4.05
3/4/14,3.79
3/3/14,3.76
2/28/14,3.69
2/27/14,3.58
2/26/14,3.54
2/25/14,3.63
2/24/14,3.63
2/21/14,3.58
2/20/14,3.49
2/19/14,3.36
2/18/14,3.56
2/14/14,3.44
2/13/14,3.27
2/12/14,3.14
2/11/14,3.26
2/10/14,3.15
2/7/14,3.06
2/6/14,2.95
2/5/14,2.98
2/4/14,3.14
2/3/14,2.99
1/31/14,2.91
1/30/14,2.98
1/29/14,3.06
1/28/14,2.89
1/27/14,2.9
1/24/14,3.09
1/23/14,3.11
1/22/14,2.97
1/21/14,3.13
1/17/14,3
1/16/14,2.88
1/15/14,2.86
1/14/14,2.77
1/13/14,2.92
1/10/14,2.79
1/9/14,2.61
1/8/14,2.61
1/7/14,2.69
1/6/14,2.75
1/3/14,2.7
1/2/14,2.78
12/31/13,2.54
12/30/13,2.44
12/27/13,2.46
12/26/13,2.45
12/24/13,2.4
12/23/13,2.3
12/20/13,2.32
12/19/13,2.28
12/18/13,2.26
12/17/13,2.3
12/16/13,2.38
12/13/13,2.39
12/12/13,2.29
12/11/13,2.34
12/10/13,2.43
12/9/13,2.29
12/6/13,2.24
12/5/13,2.28
12/4/13,2.35
12/3/13,2.23
12/2/13,2.21
11/29/13,2.34
11/27/13,2.31
11/26/13,2.2
11/25/13,2.18
11/22/13,2.19
11/21/13,2.26
11/20/13,2.22
11/19/13,2.26
11/18/13,2.29
11/15/13,2.36
11/14/13,2.32
11/13/13,2.29
11/12/13,2.22
11/11/13,2.27
11/8/13,2.11
11/7/13,2.12
11/6/13,2.22
11/5/13,2.21
11/4/13,2.19
11/1/13,2.12
10/31/13,2.17
10/30/13,2.25
10/29/13,2.23
10/28/13,2.3
10/25/13,2.33
10/24/13,2.38
10/23/13,2.31
10/22/13,2.38
10/21/13,2.32
10/18/13,2.26
10/17/13,2.29
10/16/13,2.13
10/15/13,2.15
10/14/13,2.08
10/11/13,2.06
10/10/13,2.1
10/9/13,2.1
10/8/13,2.25
10/7/13,2.34
10/4/13,2.23
10/3/13,2.28
10/2/13,2.33
10/1/13,2.27
9/30/13,2.32
9/27/13,2.34
9/26/13,2.23
9/25/13,2.29
9/24/13,2.25
9/23/13,2.28
9/20/13,2.37
9/19/13,2.6
9/18/13,2.78
9/17/13,2.56
9/16/13,2.58
9/13/13,2.75
9/12/13,2.71
9/11/13,2.77
9/10/13,2.75
9/9/13,2.78
9/6/13,2.78
9/5/13,2.6
9/4/13,2.73
9/3/13,2.83
8/30/13,2.74
8/29/13,2.76
8/28/13,2.94
8/27/13,3.13
8/26/13,3.23
8/23/13,3.14
8/22/13,3.11
8/21/13,3.14
8/20/13,3.2
8/19/13,3.08
8/16/13,3.15
8/15/13,3.15
8/14/13,2.99
8/13/13,2.83
8/12/13,2.85
8/9/13,2.71
8/8/13,2.67
8/7/13,2.4
8/6/13,2.46
8/5/13,2.68
8/2/13,2.78
8/1/13,2.84
7/31/13,2.91
7/30/13,2.92
7/29/13,2.87
7/26/13,2.87
7/25/13,2.82
7/24/13,2.88
7/23/13,2.82
7/22/13,2.44
7/19/13,2.26
7/18/13,2.22
7/17/13,2.17
7/16/13,2.27
7/15/13,2.17
7/12/13,2.03
7/11/13,2
7/10/13,1.9
7/9/13,1.99
7/8/13,1.99
7/5/13,2
7/3/13,2.08
7/2/13,2.08
7/1/13,2.2
6/28/13,2.11
6/27/13,1.93
6/26/13,1.94
6/25/13,2.04
6/24/13,1.95
6/21/13,2.12
6/20/13,2.09
6/19/13,2.26
6/18/13,2.27
6/17/13,2.39
6/14/13,2.38
6/13/13,2.47
6/12/13,2.36
6/11/13,2.41
6/10/13,2.5
6/7/13,2.51
6/6/13,2.69
6/5/13,2.63
6/4/13,2.58
6/3/13,2.58
5/31/13,2.52
5/30/13,2.54
5/29/13,2.39
5/28/13,2.29
5/24/13,2.27
5/23/13,2.23
5/22/13,2.2
5/21/13,2.21
5/20/13,2.25
5/17/13,2.13
5/16/13,2.2
5/15/13,2.25
5/14/13,2.37
5/13/13,2.42
5/10/13,2.51
5/9/13,2.59
5/8/13,2.5
5/7/13,2.35
5/6/13,2.4
5/3/13,2.45
5/2/13,2.41
5/1/13,2.4
4/30/13,2.47
4/29/13,2.37
4/26/13,2.37
4/25/13,2.46
4/24/13,2.39
4/23/13,2.4
4/22/13,2.44
4/19/13,2.37
4/18/13,2.35
4/17/13,2.28
4/16/13,2.47
4/15/13,2.64
4/12/13,2.62
4/11/13,3.01
4/10/13,3.1
4/9/13,3.34
4/8/13,3.26
4/5/13,3.38
4/4/13,3.37
4/3/13,3.24
4/2/13,3.5
4/1/13,3.63
3/28/13,3.63
3/27/13,3.84
3/26/13,3.9
3/25/13,3.94
3/22/13,3.95
3/21/13,4.05
3/20/13,3.9
3/19/13,3.94
3/18/13,4.01
3/15/13,4
3/14/13,3.95
3/13/13,3.94
3/12/13,4.07
3/11/13,3.9
3/8/13,3.9
3/7/13,3.91
3/6/13,3.97
3/5/13,3.9
3/4/13,3.87
3/1/13,3.91
2/28/13,3.99
2/27/13,4.07
2/26/13,4.17
2/25/13,4.01
2/22/13,3.99
2/21/13,4
2/20/13,4
2/19/13,4.22
2/15/13,4.17
2/14/13,4.33
2/13/13,4.32
2/12/13,4.42
2/11/13,4.36
2/8/13,4.48
2/7/13,4.49
2/6/13,4.54
2/5/13,4.54
2/4/13,4.57
2/1/13,4.55
1/31/13,4.42
1/30/13,4.48
1/29/13,4.25
1/28/13,4.19
1/25/13,4.27
1/24/13,4.43
1/23/13,4.6
1/22/13,4.75
1/18/13,4.7
1/17/13,4.7
1/16/13,4.8
1/15/13,4.85
1/14/13,4.85
1/11/13,4.9
1/10/13,4.94
1/9/13,4.89
1/8/13,4.85
1/7/13,4.84
1/4/13,4.8
1/3/13,4.73
1/2/13,4.83
12/31/12,4.51
12/28/12,4.45
12/27/12,4.43
12/26/12,4.45
12/24/12,4.4
12/21/12,4.47
12/20/12,4.3
12/19/12,4.34
12/18/12,4.4
12/17/12,4.6
12/14/12,4.64
12/13/12,4.6
12/12/12,4.7
12/11/12,4.54
12/10/12,4.63
12/7/12,4.52
12/6/12,4.36
12/5/12,4.38
12/4/12,4.42
12/3/12,4.4
11/30/12,4.44
11/29/12,4.51
11/28/12,4.57
11/27/12,4.57
11/26/12,4.65
11/23/12,4.62
11/21/12,4.5
11/20/12,4.36
11/19/12,4.48
11/16/12,4.46
11/15/12,4.33
11/14/12,4.19
11/13/12,4.52
11/12/12,4.58
11/9/12,4.67
11/8/12,4.51
11/7/12,4.52
11/6/12,4.66
11/5/12,4.59
11/2/12,4.72
11/1/12,4.89
10/31/12,4.9
10/26/12,4.93
10/25/12,4.99
10/24/12,4.93
10/23/12,5.07
10/22/12,5.08
10/19/12,5
10/18/12,5.1
10/17/12,5.25
10/16/12,5.14
10/15/12,4.98
10/12/12,5.01
10/11/12,5.17
10/10/12,5.05
10/9/12,4.99
10/8/12,5.1
10/5/12,5.24
10/4/12,5.4
10/3/12,5.38
10/2/12,5.48
10/1/12,5.6
9/28/12,5.6
9/27/12,5.68
9/26/12,5.59
9/25/12,5.58
9/24/12,5.78
9/21/12,6.19
9/20/12,6.08
9/19/12,6.18
9/18/12,5.83
9/17/12,5.71
9/14/12,5.88
9/13/12,5.54
9/12/12,5.18
9/11/12,5.1
9/10/12,5.1
9/7/12,5.07
9/6/12,4.75
9/5/12,4.73
9/4/12,4.67
8/31/12,4.65
8/30/12,4.36
8/29/12,4.48
8/28/12,4.5
8/27/12,4.52
8/24/12,4.65
8/23/12,4.7
8/22/12,4.67
8/21/12,4.62
8/20/12,4.59
8/17/12,4.71
8/16/12,4.76
8/15/12,4.5
8/14/12,4.29
8/13/12,4.29
8/10/12,4.29
8/9/12,4.14
8/8/12,3.97
8/7/12,3.85
8/6/12,3.7
8/3/12,3.68
8/2/12,3.93
8/1/12,3.99
7/31/12,3.97
7/30/12,3.98
7/27/12,4
7/26/12,4.02
7/25/12,5.38
7/24/12,5.32
7/23/12,5.53
7/20/12,5.66
7/19/12,5.83
7/18/12,5.85
7/17/12,5.86
7/16/12,5.78
7/13/12,5.66
7/12/12,5.35
7/11/12,5.27
7/10/12,5.5
7/9/12,5.71
7/6/12,5.71
7/5/12,5.7
7/3/12,5.7
7/2/12,5.38
6/29/12,5.28
6/28/12,5.14
6/27/12,5.21
6/26/12,5.21
6/25/12,5.41
6/22/12,5.45
6/21/12,5.54
6/20/12,5.95
6/19/12,6.1
6/18/12,6.18
6/15/12,5.99
6/14/12,5.98
6/13/12,6.06
6/12/12,5.91
6/11/12,5.79
6/8/12,5.99
6/7/12,6
6/6/12,6.34
6/5/12,6.51
6/4/12,6.37
6/1/12,5.84
5/31/12,5.66
5/30/12,5.92
5/29/12,5.76
5/25/12,5.86
5/24/12,5.78
5/23/12,5.82
5/22/12,5.53
5/21/12,5.83
5/18/12,5.46
5/17/12,5.43
5/16/12,5.11
5/15/12,5.14
5/14/12,5.36
5/11/12,5.41
5/10/12,5.29
5/9/12,5.28
5/8/12,5.23
5/7/12,5.67
5/4/12,5.78
5/3/12,5.92
5/2/12,6.47
5/1/12,6.72
4/30/12,7.17
4/27/12,7.01
4/26/12,7.02
4/25/12,7.24
4/24/12,6.61
4/23/12,6.66
4/20/12,6.61
4/19/12,6.59
4/18/12,6.53
4/17/12,6.71
4/16/12,6.63
4/13/12,6.99
4/12/12,7
4/11/12,6.53
4/10/12,6.79
4/9/12,6.53
4/5/12,6.81
4/4/12,6.91
4/3/12,7.25
4/2/12,7.27
3/30/12,7.18
3/29/12,7.11
3/28/12,6.9
3/27/12,7.11
3/26/12,7.39
3/23/12,7.01
3/22/12,6.74
3/21/12,7.13
3/20/12,6.96
3/19/12,6.99
3/16/12,7.02
3/15/12,7.08
3/14/12,7.04
3/13/12,7.36
3/12/12,7.55
3/9/12,8.02
3/8/12,7.83
3/7/12,7.73
3/6/12,7.52
3/5/12,7.97
3/2/12,8.13
3/1/12,8.34
2/29/12,8.3
2/28/12,8.59
2/27/12,8.49
2/24/12,8.69
2/23/12,8.83
2/22/12,8.82
2/21/12,8.75
2/17/12,8.43
2/16/12,8.74
2/15/12,8.52
2/14/12,8.71
2/13/12,8.63
